date,co2_ppm
1997-10,370.85
1997-11,370.78
1997-12,369.81
1998-01,367.96
1998-02,367.01
1998-03,366.01
1998-04,365.76
1998-05,366.28
1998-06,367.47
1998-07,369.31
1998-08,370.83
1998-09,372.10
1998-10,372.41
1998-11,372.42
1998-12,371.33
1999-01,369.48
1999-02,368.77
1999-03,367.62
1999-04,367.66
1999-05,367.93
1999-06,369.19
1999-07,370.91
1999-08,372.49
1999-09,373.63
1999-10,373.83
1999-11,374.48
1999-12,372.67
2000-01,371.62
2000-02,370.51
2000-03,369.49
2000-04,369.28
2000-05,369.87
2000-06,371.24
2000-07,372.64
2000-08,374.94
2000-09,375.20
2000-10,376.05
2000-11,375.65
2000-12,374.65
2001-01,373.50
2001-02,372.44
2001-03,370.94
2001-04,370.68
2001-05,371.59
2001-06,372.79
2001-07,374.78
2001-08,376.20
2001-09,377.24
2001-10,377.65
2001-11,377.53
2001-12,376.48
2002-01,374.82
2002-02,373.81
2002-03,372.81
2002-04,372.54
2002-05,373.04
2002-06,374.82
2002-07,376.21
2002-08,377.92
2002-09,378.78
2002-10,379.22
2002-11,379.15
2002-12,378.33
2003-01,376.83
2003-02,375.52
2003-03,374.85
2003-04,374.43
2003-05,374.66
2003-06,376.05
2003-07,377.64
2003-08,379.49
2003-09,380.40
2003-10,381.20
2003-11,381.16
2003-12,380.05
2004-01,378.46
2004-02,377.18
2004-03,376.42
2004-04,376.26
2004-05,376.89
2004-06,377.90
2004-07,379.25
2004-08,381.59
2004-09,382.55
2004-10,383.13
2004-11,382.85
2004-12,381.57
2005-01,380.40
2005-02,379.19
2005-03,378.44
2005-04,377.94
2005-05,377.70
2005-06,379.67
2005-07,381.47
2005-08,383.35
2005-09,384.45
2005-10,385.45
2005-11,384.93
2005-12,383.97
2006-01,382.52
2006-02,380.59
2006-03,380.20
2006-04,379.89
2006-05,380.16
2006-06,381.69
2006-07,383.29
2006-08,384.73
2006-09,386.06
2006-10,386.58
2006-11,386.45
2006-12,385.34
2007-01,384.24
2007-02,382.28
2007-03,381.74
2007-04,381.14
2007-05,382.00
2007-06,383.50
2007-07,385.03
2007-08,386.65
2007-09,387.94
2007-10,388.87
2007-11,387.96
2007-12,387.51
2008-01,385.56
2008-02,384.48
2008-03,383.69
2008-04,383.19
2008-05,384.01
2008-06,385.40
2008-07,386.57
2008-08,388.50
2008-09,389.68
2008-10,389.85
2008-11,390.04
2008-12,388.94
2009-01,388.13
2009-02,386.23
2009-03,385.94
2009-04,385.13
2009-05,386.31
2009-06,387.21
2009-07,388.85
2009-08,390.59
2009-09,391.87
2009-10,392.55
2009-11,392.39
2009-12,390.93
2010-01,389.36
2010-02,387.66
2010-03,387.29
2010-04,387.33
2010-05,387.79
2010-06,388.98
2010-07,390.53
2010-08,392.11
2010-09,393.46
2010-10,394.18
2010-11,393.40
2010-12,393.08
2011-01,391.20
2011-02,390.18
2011-03,389.12
2011-04,388.94
2011-05,389.33
2011-06,390.56
2011-07,392.45
2011-08,393.90
2011-09,396.04
2011-10,395.88
2011-11,395.58
2011-12,394.67
2012-01,393.20
2012-02,391.51
2012-03,391.12
2012-04,391.02
2012-05,391.13
2012-06,392.77
2012-07,394.12
2012-08,396.08
2012-09,397.43
2012-10,398.03
2012-11,397.77
2012-12,396.55
2013-01,395.61
2013-02,393.94
2013-03,393.20
2013-04,393.05
2013-05,393.36
2013-06,394.37
2013-07,396.51
2013-08,397.74
2013-09,399.06
2013-10,399.57
2013-11,399.81
2013-12,398.63
2014-01,396.77
2014-02,396.17
2014-03,395.57
2014-04,395.27
2014-05,395.24
2014-06,396.66
2014-07,398.43
2014-08,400.19
2014-09,401.24
2014-10,401.52
2014-11,401.75
2014-12,400.78
2015-01,398.95
2015-02,397.86
2015-03,397.08
2015-04,396.78
2015-05,397.48
2015-06,398.81
2015-07,400.41
2015-08,401.91
2015-09,402.86
2015-10,403.92
2015-11,403.88
2015-12,403.09
2016-01,401.25
2016-02,399.92
2016-03,399.35
2016-04,399.12
2016-05,399.41
2016-06,400.77
2016-07,402.06
2016-08,404.07
2016-09,404.98
2016-10,405.72
2016-11,405.49
2016-12,404.47
2017-01,402.72
2017-02,401.71
2017-03,401.07
2017-04,400.74
2017-05,401.22
2017-06,402.69
2017-07,404.43
2017-08,406.13
2017-09,406.98
2017-10,407.76
2017-11,407.44
2017-12,406.37
2018-01,404.89
2018-02,403.90
2018-03,402.78
2018-04,403.30
2018-05,403.31
2018-06,404.55
2018-07,406.17
2018-08,408.41
2018-09,408.97
2018-10,409.74
2018-11,409.35
2018-12,408.58
2019-01,407.28
2019-02,406.23
2019-03,404.67
2019-04,404.79
2019-05,405.77
2019-06,406.51
2019-07,408.26
2019-08,409.75
2019-09,410.59
2019-10,411.79
2019-11,411.88
2019-12,410.54
2020-01,408.87
2020-02,408.07
2020-03,407.09
2020-04,407.09
2020-05,407.64
2020-06,408.62
2020-07,410.46
2020-08,411.58
2020-09,413.58
2020-10,413.92
2020-11,413.91
2020-12,412.98
2021-01,411.32
2021-02,410.02
2021-03,408.92
2021-04,408.39
2021-05,409.45
2021-06,410.79
2021-07,412.15
2021-08,414.27
2021-09,415.39
2021-10,416.06
2021-11,415.52
2021-12,414.35
2022-01,413.66
2022-02,412.29
2022-03,411.19
2022-04,410.88
2022-05,411.49
2022-06,412.80
2022-07,414.38
2022-08,415.68
2022-09,417.65
2022-10,417.66
2022-11,417.72
2022-12,416.81
2023-01,415.62
2023-02,413.83
2023-03,413.61
2023-04,413.25
2023-05,413.85
2023-06,415.25
2023-07,416.41
2023-08,417.50
2023-09,419.65
2023-10,420.47
2023-11,420.21
2023-12,418.86
